Property.URL,Building.Class,Building.Size,Corridor,Lot.Size,No of Rooms,No..Stories,Parking.Ratio,Price,Price.Per.Room,Property.Subtype,Property Type,Property URL ,Sale.Type,Year.Built,Year.Built.Renovated,Building.Size.SF,Price.Numeric,Price.per.SF,Latitude,Longitude
230-US-Highway-2-E-Columbia-Falls-MT31062645,C,"5,000 SF",Exterior,2.13 AC,19,1,"4.6/1,000 SF","$4,750,000 ","$250,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/230-US-Highway-2-E-Columbia-Falls-MT/31062645/,Investment,1980,,5000,4750000,950,-114.177977,48.367246
7477-Park-Dale-Fort-Smith-MT26216789,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/7477-Park-Dale-Fort-Smith-MT/26216789/,,NA,,NA,NA,NA,-107.9281701,45.3157036
Glacier-Highland-Portfolio-Sale29521746,,,,,NA,NA,,"$15,250,000 ",,,,https://www.loopnet.com/Listing/Glacier-Highland-Portfolio-Sale/29521746/,Investment,NA,,NA,15250000,NA,-113.9783275,48.4962218
2006-S-Haynes-Ave-Miles-City-MT28471342,C,"29,500 SF",Interior,2.71 AC,59,3,"1.53/1,000 SF","$3,300,000 ","$55,932 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2006-S-Haynes-Ave-Miles-City-MT/28471342/,Investment,NA,1978/2020,29500,3300000,111.86,-105.8218812,46.3899175
823-39th-St-Missoula-MT28549949,B,"5,381 SF",Interior,0.58 AC,6,2,"3.9/1,000 SF","$1,575,000 ","$262,500 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/823-39th-St-Missoula-MT/28549949/,Investment,NA,1903/2001,5381,1575000,292.7,-114.0158092,46.8341221
2955-Highway-200-Trout-Creek-MT30388848,C,"22,000 SF",Exterior,1.67 AC,16,1,,"$3,950,000 ","$246,875 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2955-Highway-200-Trout-Creek-MT/30388848/,Investment,2004,,22000,3950000,179.55,-115.5904245,47.837812
398-US-20-Harrison-NE30042873,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/398-US-20-Harrison-NE/30042873/,,NA,,NA,NA,NA,-88.9313175,42.2385798
755-Microtel-Dr-Chadron-NE28828874,B,"15,600 SF",Interior,1.34 AC,45,3,,,,Hotel,Hospitality,https://www.loopnet.com/Listing/755-Microtel-Dr-Chadron-NE/28828874/,Investment,1998,,15600,NA,NA,-103.0176023,42.8243775
2205-Osborne-Dr-E-Hastings-NE29822606,B,"105,973 SF",Interior,5.92 AC,101,2,"1.79/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/2205-Osborne-Dr-E-Hastings-NE/29822606/,Investment,1972,,105973,NA,NA,-98.3835624,40.6089061
2115-Illinois-St-Sidney-NE28939835,C,"22,034 SF",Interior,1.11 AC,58,2,"3.36/1,000 SF","$1,200,000 ","$20,690 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2115-Illinois-St-Sidney-NE/28939835/,Investment,NA,1984/2014,22034,1200000,54.46,-102.9916396,41.1439646
664-Chase-Blvd-Sidney-NE28090590,B,"53,540 SF",Interior,4.92 AC,85,2,"3.57/1,000 SF","$2,700,000 ","$31,765 ",Hotel,Hospitality,https://www.loopnet.com/Listing/664-Chase-Blvd-Sidney-NE/28090590/,Investment,1997,,53540,2700000,50.43,-102.9510865,41.110626
517-J-St-Auburn-NE30042418,C,"7,104 SF",Exterior,4.86 AC,30,2,,"$750,000 ","$25,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/517-J-St-Auburn-NE/30042418/,Investment,1950,,7104,750000,105.57,-95.8384745,40.3993904
1400-W-J-St-Hastings-NE30542411,C,"15,185 SF",Exterior,2.47 AC,41,1,,"$750,000 ","$18,293 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1400-W-J-St-Hastings-NE/30542411/,Investment,1955,,15185,750000,49.39,-98.4008191,40.5684238
1103-E-B-St-McCook-NE30378684,C,"11,377 SF",Exterior,1.04 AC,37,1,"4.57/1,000 SF","$850,000 ","$22,973 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1103-E-B-St-McCook-NE/30378684/,Investment,NA,1982/2019,11377,850000,74.71,-100.6119577,40.1988587
2311-S-Locust-St-Grand-Island-NE30542720,C,"17,088 SF",Interior,0.85 AC,44,2,,"$1,600,000 ","$36,364 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2311-S-Locust-St-Grand-Island-NE/30542720/,Investment,1969,,17088,1600000,93.63,-98.339176,40.8989864
612-W-B-St-McCook-NE31050427,C,"39,599 SF",Interior,1.01 AC,45,2,"1.26/1,000 SF","$1,500,000 ","$33,333 ",Hotel,Hospitality,https://www.loopnet.com/Listing/612-W-B-St-McCook-NE/31050427/,Investment,NA,1965/2010,39599,1500000,37.88,-100.6345245,40.1984713
1290-Highway-92-W-Lewellen-NE29785239,B,"3,168 SF",Exterior,11.14 AC,11,1,"5.68/1,000 SF","$875,000 ","$79,545 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1290-Highway-92-W-Lewellen-NE/29785239/,Investment,1958,,3168,875000,276.2,-101.9237307,41.3002843
2621-Harlan-St-Falls-City-NE28374260,C,"9,493 SF",Exterior,1.78 AC,17,1,"2.11/1,000 SF","$750,000 ","$44,118 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2621-Harlan-St-Falls-City-NE/28374260/,Investment,2009,,9493,750000,79.01,-95.6027613,40.0711354
935-9th-Ave-Sidney-NE29530789,C,"24,876 SF",Exterior,0.40 AC,47,2,"0.92/1,000 SF","$1,500,000 ","$31,915 ",Hotel,Hospitality,https://www.loopnet.com/Listing/935-9th-Ave-Sidney-NE/29530789/,Investment,NA,1960/2022,24876,1500000,60.3,-102.9748936,41.1442182
2220-Illinois-St-Sidney-NE30378792,C,"9,185 SF",Exterior,0.72 AC,24,1,,"$480,000 ","$20,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2220-Illinois-St-Sidney-NE/30378792/,Investment,1950,,9185,480000,52.26,-102.992472,41.1447395
910-W-J-St-Hastings-NE30543051,C,"30,000 SF",Exterior,1.04 AC,47,2,,"$1,200,000 ","$25,532 ",Hotel,Hospitality,https://www.loopnet.com/Listing/910-W-J-St-Hastings-NE/30543051/,Investment,1965,,30000,1200000,40,-98.3939031,40.5685535
5051-Albees-Lewellen-NE23886905,C,"6,761 SF",Exterior,0.71 AC,8,1,"2/1,000 SF","$750,000 ","$93,750 ",Hotel,Hospitality,https://www.loopnet.com/Listing/5051-Albees-Lewellen-NE/23886905/,Investment,NA,1977/2020,6761,750000,110.93,-101.9583004,41.2974132
730-E-Jennifer-Ln-Sidney-NE28471469,C,"24,319 SF",Interior,2.04 AC,55,2,"2.18/1,000 SF","$1,700,000 ","$30,909 ",Hotel,Hospitality,https://www.loopnet.com/Listing/730-E-Jennifer-Ln-Sidney-NE/28471469/,Investment,1989,,24319,1700000,69.9,-102.9503448,41.1189729
111-Circle-Rd-Big-Springs-NE29499505,B,"34,800 SF",Interior,3.08 AC,62,2,,"$2,600,000 ","$41,935 ",Hotel,Hospitality,https://www.loopnet.com/Listing/111-Circle-Rd-Big-Springs-NE/29499505/,Investment,1973,,34800,2600000,74.71,-102.069358,41.051168
4817-Lincoln-Ave-York-NE30791874,C,"47,974 SF",Interior,2.98 AC,60,2,,"$1,550,000 ","$25,833 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4817-Lincoln-Ave-York-NE/30791874/,Investment,1976,,47974,1550000,32.31,-97.5964282,40.8162572
1798-State-Highway-68-Ranchos-De-Taos-NM29520503,B,"10,500 SF",Exterior,0.58 AC,26,2,"2.76/1,000 SF","$2,995,000 ","$115,192 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1798-State-Highway-68-Ranchos-De-Taos-NM/29520503/,Investment,NA,1984/2023,10500,2995000,285.24,-105.6027448,36.3646962
W-US-Highway-66-Hospitality29860290,,,,,NA,NA,,"$3,500,000 ",,,,https://www.loopnet.com/Listing/W-US-Highway-66-Hospitality/29860290/,Investment,NA,,NA,3500000,NA,-96.0023638,36.1450958
807-Highway-85-Socorro-NM28146389,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/807-Highway-85-Socorro-NM/28146389/,,NA,,NA,NA,NA,-106.8927474,34.0482428
3610-N-Main-St-Roswell-NM30532411,B,"42,000 SF",Interior,1.74 AC,68,3,"1.78/1,000 SF","$7,100,000 ","$104,412 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3610-N-Main-St-Roswell-NM/30532411/,Investment,2010,,42000,7100000,169.05,-104.5239727,33.4422987
26219-E-US-Highway-64-Taos-NM29442201,B,"24,496 SF",Exterior,8.79 AC,8,2,"0.2/1,000 SF","$5,000,000 ","$625,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/26219-E-US-Highway-64-Taos-NM/29442201/,Investment,2008,,24496,5.00E+06,204.11,-105.4690746,36.3701332
251-Panorama-Blvd-Alamogordo-NM31094594,C,"28,296 SF",Exterior,2.09 AC,93,2,"4.63/1,000 SF","$2,950,000 ","$31,720 ",Hotel,Hospitality,https://www.loopnet.com/Listing/251-Panorama-Blvd-Alamogordo-NM/31094594/,Investment,NA,1982/2023,28296,2950000,104.26,-105.9586503,32.8763997
4298-Cerrillos-Rd-Santa-Fe-NM29474538,C,"136,053 SF",Exterior,3.14 AC,131,3,"3.92/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/4298-Cerrillos-Rd-Santa-Fe-NM/29474538/,Investment,NA,1986/2014,136053,NA,NA,-106.0186499,35.6350713
1214-E-Route-66-Blvd-Tucumcari-NM29866887,C,"15,500 SF",Exterior,0.98 AC,31,2,"2.71/1,000 SF","$685,000 ","$22,097 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1214-E-Route-66-Blvd-Tucumcari-NM/29866887/,Investment,1965,,15500,685000,44.19,-103.7114277,35.1714314
3820-E-Historic-Highway-66-Gallup-NM29530095,B,"25,000 SF",Interior,1.63 AC,61,2,"2.84/1,000 SF",,,Hotel,Hospitality,https://www.loopnet.com/Listing/3820-E-Historic-Highway-66-Gallup-NM/29530095/,Investment,1995,,25000,NA,NA,-108.6667051,35.5302651
1903-W-US-Highway-66-Gallup-NM30163317,C,"21,350 SF",Exterior,2.20 AC,50,2,"2.81/1,000 SF","$1,200,001 ","$24,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1903-W-US-Highway-66-Gallup-NM/30163317/,Investment,1972,,21350,1200001,56.21,-108.772116,35.5174894
1000-E-Santa-Fe-Ave-Grants-NM29783307,C,"8,536 SF",Exterior,0.59 AC,25,1,"2.93/1,000 SF","$508,800 ","$20,352 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1000-E-Santa-Fe-Ave-Grants-NM/29783307/,Investment,2000,,8536,508800,59.61,-107.8380475,35.1450822
2127-North-Rd-Los-Alamos-NM30058706,C,"10,000 SF",Interior,0.35 AC,14,2,"1.3/1,000 SF","$1,950,000 ","$139,286 ",Bed and BreakfastHospitality Hotel,Hospitality,https://www.loopnet.com/Listing/2127-North-Rd-Los-Alamos-NM/30058706/,Investment,1950,,10000,1950000,195,-106.3247421,35.8955141
722-E-Route-66-Blvd-Tucumcari-NM29979654,C,"8,971 SF",Exterior,1.39 AC,14,1,"2.56/1,000 SF","$950,000 ","$67,857 ",Hotel,Hospitality,https://www.loopnet.com/Listing/722-E-Route-66-Blvd-Tucumcari-NM/29979654/,Investment,NA,1959/2017,8971,950000,105.9,-103.7176481,35.1711732
3705-National-Parks-Hwy-Carlsbad-NM28532715,B,"24,375 SF",Interior,1.26 AC,58,2,,"$7,975,000 ","$137,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3705-National-Parks-Hwy-Carlsbad-NM/28532715/,Investment,2023,,24375,7975000,327.18,-104.2288301,32.3770968
417-W-Main-St-Red-River-NM30807649,B,"22,500 SF",Exterior,3.86 AC,46,2,"1.73/1,000 SF","$8,420,000 ","$183,043 ",Hotel,Hospitality,https://www.loopnet.com/Listing/417-W-Main-St-Red-River-NM/30807649/,Investment,NA,1960/2011,22500,8420000,374.22,-105.4101484,36.7100448
6031-Iliff-Rd-NW-Albuquerque-NM29024293,C,"41,854 SF",Exterior,1.79 AC,81,2,"2.13/1,000 SF","$3,500,000 ","$43,210 ",Hotel,Hospitality,https://www.loopnet.com/Listing/6031-Iliff-Rd-NW-Albuquerque-NM/29024293/,Investment,1992,,41854,3500000,83.62,-106.7078555,35.1039304
